t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
99.40000000001395,4887.115511727229,83.20076059212766,16958.65738396449,82.2461895453822,1.3580338265169432,47.507875359082334,-1.7279099227069903,-1.0074826181485812,-1.3188493521722684,0.11792500607079881,1.025274244605215,-5.700342561160119e-16
99.41000000001395,4887.937974599916,83.21434145914142,16959.13147902885,82.24628726862855,1.3580867013764057,47.409506435739026,-1.7106881575642334,-1.0089967030788527,-1.3378243154504705,0.11708004772862116,1.0232826448717622,-5.698523571756573e-16
99.42000000001396,4888.760438418518,83.22792282370831,16959.604590442807,82.24638186020199,1.3581364566886822,47.31114139582858,-1.693415903521787,-1.0103334498386256,-1.3568519280548994,0.11623047666900291,1.0213178103490643,-5.731265381020398e-16
99.43000000001396,4889.582903165085,83.24150466499074,16960.07671823956,82.24647465669368,1.358184128243157,47.21277967535485,-1.6761037941476316,-1.0114926984069608,-1.375921710648087,0.11538052940658035,1.0193734802591803,-5.723079928704442e-16
99.44000000001397,4890.405368814548,83.25508695408054,16960.547862454114,82.24656494628668,1.3582289089791,47.114421455440784,-1.6587625871453124,-1.0124744453001204,-1.3950231168536587,0.11452578580129534,1.017454383443913,-5.719441949897351e-16
99.45000000001397,4891.22783535115,83.26866969671967,16961.01802311315,82.24665366028005,1.3582742639134642,47.0160659034,-1.6414032623582906,-1.013278823340201,-1.4141451207232323,0.11368643162999571,1.015541247184115,-5.749000527704971e-16
99.46000000001398,4892.050302750169,83.28225287184848,16961.48720022511,82.24673990188403,1.3583175128812008,46.91771119605833,-1.624037161599017,-1.0139061290430758,-1.4332765912156422,0.11283635347030305,1.0136327522974273,-5.753093253862949e-16
99.47000000001398,4892.8727709837885,83.29583644791097,16961.95539381869,82.2468233619189,1.3583576062484188,46.819359357983096,-1.6066753393219142,-1.0143568327085548,-1.4524067216800334,0.11197727266861868,1.0117480758954067,-5.779923347565251e-16
99.48000000001399,4893.695240021318,83.30942041516955,16962.422603925625,82.24690375292712,1.3583967258588092,46.72101069321003,-1.5893287839702634,-1.0146315556019552,-1.4715245839918936,0.11112597717374675,1.0098805103197221,-5.819713740767817e-16
99.49000000001399,4894.5177098342965,83.32300475175393,16962.888830593452,82.2469812978941,1.3584336584366004,46.622666782790795,-1.5720081779365926,-1.0147310740699806,-1.4906196208696187,0.110280844366622,1.0080472149477397,-5.826137047099089e-16
99.500000000014,4895.34018039806,83.33658945355496,16963.354073855717,82.24705637629324,1.3584701801031829,46.524326226468865,-1.5547243232964028,-1.0146563079113602,-1.509681045687623,0.10944804970666219,1.006231540562141,-5.822939604788168e-16
99.510000000014,4896.162651688893,83.35017450785763,16963.81833373996,82.2471290833155,1.3585054302667374,46.42598842421179,-1.5374879799104246,-1.0144083265183834,-1.528698200146726,0.10861899835152078,1.0044336687635842,-5.817084732645505e-16
